"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","cases","D:\Research in Missing Metrics\Java\Maintainability Nesting Depth\workspace\java_nesting_benchmark\src\cases\DepthFourViolation.java","3","7","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"1","cases","D:\Research in Missing Metrics\Java\Maintainability Nesting Depth\workspace\java_nesting_benchmark\src\cases\DepthSixViolation.java","3","7","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"1","cases","D:\Research in Missing Metrics\Java\Maintainability Nesting Depth\workspace\java_nesting_benchmark\src\cases\DepthThree.java","3","7","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
