file,begin_line,end_line,rule,priority,message,detected_nesting_depth,status
D:\Research in Missing Metrics\Java\Maintainability Nesting Depth\workspace\java_nesting_benchmark\src\cases\DepthFourViolation.java,7,11,AvoidDeeplyNestedIfStmts,,Deeply nested if..then statements are hard to read,4,derived
D:\Research in Missing Metrics\Java\Maintainability Nesting Depth\workspace\java_nesting_benchmark\src\cases\DepthSixViolation.java,7,15,AvoidDeeplyNestedIfStmts,,Deeply nested if..then statements are hard to read,6,derived
D:\Research in Missing Metrics\Java\Maintainability Nesting Depth\workspace\java_nesting_benchmark\src\cases\DepthThree.java,7,9,AvoidDeeplyNestedIfStmts,,Deeply nested if..then statements are hard to read,3,derived
