element_path,tag,depth,attributes,text
report/package/class/method,method,3,desc=(Ljava/lang/String;)Ljava/lang/String;; line=48; name=crossModuleFlow,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=10,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=2,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=1,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class,class,2,name=com/testable/training/PaymentValidator; sourcefilename=PaymentValidator.java,
report/package/class/counter[@type=INSTRUCTION],counter,3,type=INSTRUCTION; missed=0; covered=34,
report/package/class/counter[@type=BRANCH],counter,3,type=BRANCH; missed=1; covered=5,
report/package/class/counter[@type=LINE],counter,3,type=LINE; missed=0; covered=7,
report/package/class/counter[@type=COMPLEXITY],counter,3,type=COMPLEXITY; missed=1; covered=5,
report/package/class/counter[@type=METHOD],counter,3,type=METHOD; missed=0; covered=3,
report/package/class/counter[@type=CLASS],counter,3,type=CLASS; missed=0; covered=1,
report/package/class/method,method,3,desc=()V; line=3; name=<init>,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=3,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=1,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=1,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(Ljava/lang/String;)Ljava/lang/String;; line=6; name=validate,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=13,
report/package/class/method/counter[@type=BRANCH],counter,4,type=BRANCH; missed=1; covered=3,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=3,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=1; covered=2,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(Ljava/lang/String;)Ljava/lang/String;; line=13; name=maskToken,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=18,
report/package/class/method/counter[@type=BRANCH],counter,4,type=BRANCH; missed=0; covered=2,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=3,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=2,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/sourcefile,sourcefile,2,name=OrderService.java,
report/package/sourcefile/counter[@type=INSTRUCTION],counter,3,type=INSTRUCTION; missed=2; covered=68,
report/package/sourcefile/counter[@type=BRANCH],counter,3,type=BRANCH; missed=4; covered=16,
report/package/sourcefile/counter[@type=LINE],counter,3,type=LINE; missed=0; covered=22,
report/package/sourcefile/counter[@type=COMPLEXITY],counter,3,type=COMPLEXITY; missed=3; covered=13,
report/package/sourcefile/counter[@type=METHOD],counter,3,type=METHOD; missed=0; covered=6,
report/package/sourcefile/counter[@type=CLASS],counter,3,type=CLASS; missed=0; covered=1,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=7,
report/package/sourcefile/line,line,3,cb=0; ci=3; mb=0; mi=0; nr=8,
report/package/sourcefile/line,line,3,cb=0; ci=1; mb=0; mi=0; nr=9,
report/package/sourcefile/line,line,3,cb=5; ci=6; mb=1; mi=0; nr=12,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=13,
report/package/sourcefile/line,line,3,cb=4; ci=4; mb=0; mi=0; nr=15,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=16,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=18,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=22,
report/package/sourcefile/line,line,3,cb=2; ci=7; mb=0; mi=0; nr=23,
report/package/sourcefile/line,line,3,cb=0; ci=4; mb=0; mi=0; nr=24,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=26,
report/package/sourcefile/line,line,3,cb=3; ci=5; mb=3; mi=2; nr=30,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=31,
report/package/sourcefile/line,line,3,cb=2; ci=2; mb=0; mi=0; nr=33,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=34,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=36,
report/package/sourcefile/line,line,3,cb=0; ci=5; mb=0; mi=0; nr=41,
report/package/sourcefile/line,line,3,cb=0; ci=1; mb=0; mi=0; nr=42,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=43,
report/package/sourcefile/line,line,3,cb=0; ci=5; mb=0; mi=0; nr=48,
report/package/sourcefile/line,line,3,cb=0; ci=5; mb=0; mi=0; nr=49,
report/package/sourcefile,sourcefile,2,name=DataFlowSample.java,
report/package/sourcefile/counter[@type=INSTRUCTION],counter,3,type=INSTRUCTION; missed=0; covered=26,
report/package/sourcefile/counter[@type=BRANCH],counter,3,type=BRANCH; missed=0; covered=6,
report/package/sourcefile/counter[@type=LINE],counter,3,type=LINE; missed=0; covered=10,
report/package/sourcefile/counter[@type=COMPLEXITY],counter,3,type=COMPLEXITY; missed=0; covered=6,
report/package/sourcefile/counter[@type=METHOD],counter,3,type=METHOD; missed=0; covered=3,
report/package/sourcefile/counter[@type=CLASS],counter,3,type=CLASS; missed=0; covered=1,
report/package/sourcefile/line,line,3,cb=0; ci=3; mb=0; mi=0; nr=3,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=6,
report/package/sourcefile/line,line,3,cb=2; ci=2; mb=0; mi=0; nr=7,
report/package/sourcefile/line,line,3,cb=0; ci=4; mb=0; mi=0; nr=8,
report/package/sourcefile/line,line,3,cb=0; ci=4; mb=0; mi=0; nr=10,
report/package/sourcefile/line,line,3,cb=2; ci=3; mb=0; mi=0; nr=14,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=15,
report/package/sourcefile/line,line,3,cb=2; ci=2; mb=0; mi=0; nr=17,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=18,
report/package/sourcefile/line,line,3,cb=0; ci=2; mb=0; mi=0; nr=20,
report/package/sourcefile,sourcefile,2,name=PaymentValidator.java,
