NLOC,CCN,token,PARAM,length,location,file,function
3,1,20,3,3,CleanDemo::add@4-6@D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\CleanDemo.java,D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\CleanDemo.java,CleanDemo::add
14,12,109,1,14,CyclomaticComplexityDemo::complex@4-17@D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\CyclomaticComplexityDemo.java,D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\CyclomaticComplexityDemo.java,CyclomaticComplexityDemo::complex
5,1,45,8,5,ExcessiveParameterListDemo::manyParameters@4-8@D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\ExcessiveParameterListDemo.java,D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\ExcessiveParameterListDemo.java,ExcessiveParameterListDemo::manyParameters
3,1,25,4,3,ModerateParamsDemo::moderateSum@4-6@D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\ModerateParamsDemo.java,D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\ModerateParamsDemo.java,ModerateParamsDemo::moderateSum
10,4,37,1,10,NestedControlDemo::nestedExample@4-13@D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\NestedControlDemo.java,D:\Research in Missing Metrics\Java\Parameter Count\workspace\parameter_count_benchmark\src\cases\NestedControlDemo.java,NestedControlDemo::nestedExample
