Metric,Supported,Directly Emitted,Derived,Evidence
Variable Definition Detection,Supported,Yes,Yes,definitions_total=4 | definitions_covered=4 | all_defs_percent=100.0 | all_defs_coverage_score=100.0 | covered=yes | score=100
Definition-Use Mapping,Supported,Yes,Yes,"du_pairs_total=7 | du_pairs_covered=7 | data_path_correlation_percent=100.0 | du_paths=[{'file': 'DataFlowSample.java', 'variable': 'result', 'use_type': 'computational', 'line': 'result = result + 5;', 'covered': True}, {'file': 'DataFlowSample.java', 'variable': 'result', 'use_type': 'return', 'line': 'return result * 2;', 'covered': True}, {'file': 'OrderService.java', 'variable': 'i', 'use_type': 'computational', 'line': 'for (int i = 0; i < limit; i++) {', 'covered': True}, {'file': 'OrderService.java', 'variable': 'i', 'use_type': 'computational', 'line': 'for (int i = 0; i < limit; i++) {', 'covered': True}, {'file': 'OrderService.java', 'variable': 'i', 'use_type': 'computational', 'line': 'total += i;', 'covered': True}, {'file': 'OrderService.java', 'variable': 'total', 'use_type': 'return', 'line': 'return total;', 'covered': True}, {'file': 'OrderService.java', 'variable': 'masked', 'use_type': 'return', 'line': 'return validator.validate(masked);', 'covered': True}] | data_path_correlation_score=100.0 | covered=yes"
Coverage Measurement,Supported,Yes,Yes,all_defs_percent=100.0 | all_uses_percent=100.0 | du_path_percent=100.0 | du_path_validation_score=100.0 | covered=yes | score=100
Uncovered Definition Detection,Supported,Yes,Yes,uncovered_definitions=0 | dead_data_identification_score=100.0 | covered=yes | score=100 | value=100/100 | formula=Static definition-use analysis on sample_subject Java source
Variable Use Detection,Supported,Yes,Yes,uses_total=32 | uses_covered=32 | c_use_total=7 | p_use_total=25 | all_uses_percent=100.0 | all_uses_coverage_score=100.0
