file,function,nloc,cyclomatic_complexity,token_count,parameter_count,function_length,start_line,end_line
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\clean.js,normalAdd,3,1,16,3,3,2,4
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\long_function.js,veryLongFunction,55,52,525,1,55,2,56
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.js,stepOne,3,1,10,1,3,2,4
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.js,stepTwo,3,1,10,1,3,6,8
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.js,stepThree,3,1,10,1,3,10,12
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.js,stepFour,3,1,10,1,3,14,16
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.js,stepFive,3,1,10,1,3,18,20
D:\Research in Missing Metrics\JavaScript\File & Function Length\workspace\file_function_length_benchmark\cases\nested_control.js,nestedExample,10,4,35,1,10,2,11
