file,function,nloc,cyclomatic_complexity,token_count,parameter_count,function_length,start_line,end_line
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\clean.c,normal_add,3,1,20,3,3,3,5
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\long_function.c,very_long_function,55,52,629,1,55,4,58
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.c,step_one,3,1,12,1,3,3,5
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.c,step_two,3,1,12,1,3,7,9
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.c,step_three,3,1,12,1,3,11,13
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.c,step_four,3,1,12,1,3,15,17
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.c,step_five,3,1,12,1,3,19,21
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\nested_control.c,nested_example,10,4,37,1,10,3,12
