file,file_length
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\clean.c,3
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\long_function.c,56
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.c,15
D:\Research in Missing Metrics\C\File & Function Length\workspace\file_function_length_benchmark\cases\nested_control.c,10
