file,line,column,severity,ruleId,message,nodeType
D:\Research in Missing Metrics\JavaScript\Maintainability Nesting Depth\workspace\js_nesting_benchmark\cases\depth_six_violation.js,7,13,1,max-depth,Blocks are nested too deeply (6). Maximum allowed is 5.,
D:\Research in Missing Metrics\JavaScript\Maintainability Nesting Depth\workspace\js_nesting_benchmark\cases\loop_nesting.js,8,13,1,max-depth,Blocks are nested too deeply (6). Maximum allowed is 5.,
