file,file_length
D:\Research in Missing Metrics\Java\File & Function Length\workspace\file_function_length_benchmark\src\cases\CleanDemo.java,6
D:\Research in Missing Metrics\Java\File & Function Length\workspace\file_function_length_benchmark\src\cases\LongMethodDemo.java,58
D:\Research in Missing Metrics\Java\File & Function Length\workspace\file_function_length_benchmark\src\cases\ModerateDemo.java,18
D:\Research in Missing Metrics\Java\File & Function Length\workspace\file_function_length_benchmark\src\cases\NestedControlDemo.java,13
