file,line,column,type,symbol,message,message-id,confidence
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,23,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,26,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,29,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,32,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,35,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,38,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,41,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,44,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,47,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,50,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,53,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,56,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,59,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,62,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,65,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,4,0,refactor,too-many-public-methods,Too many public methods (21/20),R0904,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_returns.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_returns.py,4,0,refactor,too-many-return-statements,Too many return statements (9/6),R0911,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_statements.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_statements.py,4,0,refactor,too-many-statements,Too many statements (56/50),R0915,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_statements.py,1,0,refactor,duplicate-code,"Similar lines in 2 files
==cases.duplicate_code_a:[4:15]
==cases.duplicate_code_b:[4:15]
    result = 0
    if x > 0:
        result += x
    if y > 0:
        result += y
    if z > 0:
        result += z
    for item in [x, y, z]:
        if item % 2 == 0:
            result += item
    return result",R0801,
