package,class,instruction_coverage,branch_coverage,line_coverage,method_coverage,complexity_coverage
com.testable.training,DataFlowSample,100.0,100.0,100.0,100.0,100.0
com.testable.training,OrderService,97.14,80.0,100.0,100.0,81.25
com.testable.training,PaymentValidator,100.0,83.33,100.0,100.0,83.33
