NLOC,CCN,token,PARAM,length,location,file,function
2,1,15,3,2,add@4-5@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\clean.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\clean.py,add
54,52,471,1,54,very_long_function@4-57@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\long_function.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\long_function.py,very_long_function
2,1,9,1,2,step_one@4-5@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,step_one
2,1,9,1,2,step_two@8-9@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,step_two
2,1,9,1,2,step_three@12-13@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,step_three
2,1,9,1,2,step_four@16-17@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,step_four
2,1,9,1,2,step_five@20-21@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\moderate.py,step_five
6,4,24,1,6,nested_example@4-9@D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\nested_control.py,D:\Research in Missing Metrics\Python\File & Function Length\workspace\file_function_length_benchmark\cases\nested_control.py,nested_example
